year,group_code,group_name,income_dkk_per_person,total_income_thousand_dkk,income_gap_vs_danes,income_ratio_vs_danes,yoy_change_dkk,yoy_change_pct,rolling_3y_mean,base_year_index,real_income_dkk_per_person,group_encoded,population,population_share,immigrant_origin_population,immigrant_origin_share,income_share,contribution_index,birth_share,birth_population_ratio,immigration_count,emigration_count,net_migration,net_migration_rate
2014,IND_VEST,Western immigrant origin,273514,45158216,34534,0.8878940944268425,5313.0,1.9809769538517763,267789.0,101.82721160361272,332631.1227189017,2,234713,0.04149988949299386,653043,0.11546532290147195,0.032948858855535855,0.7939505203043585,,,,,,
2015,DANSK,Danish origin,318133,1314994558,0,1.0,10085.0,3.273840440450848,309696.0,114.36187230616038,385153.01866666664,0,5003413,0.8779118896971866,695807,0.12208811030281337,0.9230484963053094,1.0514135953024757,0.7946568164247058,0.905166937309395,22549.0,21831.0,718.0,0.00014350204550373915
2015,IND_ANDRE,Non-western immigrant origin,224552,59223448,93581,0.7058431536495743,5642.0,2.5773148782604727,219170.66666666666,110.31135477151923,271857.6213333333,1,445280,0.07812998971789122,695807,0.12208811030281337,0.041571361865982474,0.532079448827355,,,,,,
2015,IND_VEST,Western immigrant origin,286186,50403304,31947,0.8995797355194212,12672.0,4.633035237684369,275967.0,106.54490219875952,346475.85066666664,2,250527,0.04395812058492215,695807,0.12208811030281337,0.03538014182870815,0.8048602023454958,,,,,,
2016,DANSK,Danish origin,323890,1338489674,0,1.0,5757.0,1.8096205046317149,316690.3333333333,116.43138819689338,391144.9642560266,0,5007524,0.8715518822819703,738002,0.12844811771802964,0.9198955914228947,1.0554685385043823,0.7841237381114682,0.8996868161863291,22186.0,21544.0,642.0,0.00012820707399505225
2016,IND_ANDRE,Non-western immigrant origin,225889,63326397,98001,0.6974250517150885,1337.0,0.5954077451993278,223117.0,110.96815712166317,272794.2969243558,1,472768,0.08228454627130745,738002,0.12844811771802964,0.043521944586175434,0.5289200288311184,,,,,,
2016,IND_VEST,Western immigrant origin,284753,53229139,39137,0.8791657661551762,-1433.0,-0.5007233058220928,281484.3333333333,106.01140704228497,343881.2621778886,2,265234,0.046163571446722194,738002,0.12844811771802964,0.036582463990929875,0.7924530716422155,,,,,,
2017,DANSK,Danish origin,332109,1377866526,0,1.0,8219.0,2.537589922504546,324710.6666666667,119.38593937040991,396521.9881656805,0,5010295,0.8670475567484689,768275,0.13295244325153108,0.9166284217189374,1.0571835588308474,0.7780673322800788,0.8973756124726578,21937.0,21006.0,931.0,0.0001858174019693451
2017,IND_ANDRE,Non-western immigrant origin,230158,67781050,101951,0.693019460478337,4269.0,1.88986626174803,226866.33333333334,113.06530688438903,274797.4543063774,1,490966,0.08496323484876016,768275,0.13295244325153108,0.045091477085460734,0.5307175175913013,,,,,,
2017,IND_VEST,Western immigrant origin,292082,57542259,40027,0.8794763165105433,7329.0,2.573809582339792,287673.6666666667,108.73993879511255,348731.69756738987,2,277309,0.047989208402770926,768275,0.13295244325153108,0.038280101195601816,0.7976814469269616,,,,,,
2018,DANSK,Danish origin,338202,1405137615,0,1.0,6093.0,1.8346386276794746,331400.3333333333,121.57623993011744,400537.9192956713,0,5012578,0.8633422407623818,793437,0.13665775923761822,0.9126873371574912,1.057155892605851,0.7781410631791268,0.9013123955246098,21902.0,20909.0,993.0,0.00019810165547548588
2018,IND_ANDRE,Non-western immigrant origin,240865,72948440,97337,0.7121927132305546,10707.0,4.652021654689387,232304.0,118.32512944459181,285260.187494905,1,505091,0.08699443594272492,793437,0.13665775923761822,0.04738263124028105,0.5446627790250478,,,,,,
2018,IND_VEST,Western immigrant origin,299039,61474710,39163,0.8842023406130064,6957.0,2.381865366575142,291958.0,111.32997773690833,354156.565745496,2,288346,0.04966332329489331,793437,0.13665775923761822,0.03993003160222779,0.8040144910385738,,,,,,
2019,DANSK,Danish origin,350448,1458949004,0,1.0,12246.0,3.6209129455177624,340253.0,125.9784097404208,411918.16699029127,0,5016019,0.8607551862620149,811444,0.1392448137379851,0.9098613170529045,1.0570500550849329,0.780862229633626,0.9071827182647153,21275.0,20127.0,1148.0,0.00022886675668493283
2019,IND_ANDRE,Non-western immigrant origin,253978,78289899,96470,0.7247237821303018,13113.0,5.444128453698127,241667.0,124.76690148455998,298526.8919093851,1,516115,0.08856598488913615,811444,0.1392448137379851,0.04882483926496369,0.5512820675576627,,,,,,
2019,IND_VEST,Western immigrant origin,314308,66246130,36140,0.8968748573254806,15269.0,5.106022960215895,301809.6666666667,117.01451196175812,369439.047249191,2,295329,0.05067882884884898,811444,0.1392448137379851,0.04131384368213183,0.8152091242153903,,,,,,
2020,DANSK,Danish origin,366762,1528207343,0,1.0,16314.0,4.655184221339548,351804.0,131.84293679295135,429287.65194972605,0,5022725,0.8604662875930689,814488,0.1395337124069312,0.9061909042118614,1.053139346977434,0.7843510510855474,0.9115418725811628,21696.0,15871.0,5825.0,0.0011597290315515979
2020,IND_ANDRE,Non-western immigrant origin,269695,84895110,97067,0.7353406296181175,15717.0,6.188331272787417,254846.0,132.48789066721687,315672.6522719948,1,521392,0.08932207887565521,814488,0.1395337124069312,0.05034079756680337,0.5635873929544623,,,,,,
2020,IND_VEST,Western immigrant origin,337682,73305274,29080,0.9207115240946445,23374.0,7.436654491772399,317009.6666666667,125.71647692158776,395250.08830164355,2,293096,0.05021163353127597,814488,0.1395337124069312,0.043468298221335175,0.8657017341262062,,,,,,
2021,DANSK,Danish origin,384704,1603382398,0,1.0,17942.0,4.892000807062891,367304.6666666667,138.29269432491796,442096.1645309286,0,5027581,0.8568651732654874,839831,0.14313482673451258,0.9025834231358063,1.0533552433880444,0.7876734989680652,0.9192502199223072,18356.0,16267.0,2089.0,0.00041550797490880805
2021,IND_ANDRE,Non-western immigrant origin,288175,92421858,96529,0.7490824114124106,18480.0,6.8521848755075165,270616.0,141.56620587339484,331166.4610030058,1,531637,0.09060843179241547,839831,0.14313482673451258,0.05202653906533119,0.5741909228108522,,,,,,
2021,IND_VEST,Western immigrant origin,357189,80632533,27515,0.9284774787888871,19507.0,5.776736693101792,336393.0,132.97878677319198,410476.3322259136,2,308194,0.05252639494209713,839831,0.14313482673451258,0.04539003779886254,0.8641376939898235,,,,,,
2022,DANSK,Danish origin,382655,1602571999,0,1.0,-2049.0,-0.5326172849775435,378040.3333333333,137.55612353108228,408315.2287917738,0,5024352,0.8475107129049431,904012,0.1524892870950569,0.8949411635932123,1.0559644261317898,0.7859318843060071,0.927341533668799,18141.0,18859.0,-718.0,-0.0001429040003566629
2022,IND_ANDRE,Non-western immigrant origin,299944,99130378,82711,0.7838496818282787,11769.0,4.0839767502385715,285938.0,147.34773680745917,320057.76217407273,1,574641,0.09693078900013562,904012,0.1524892870950569,0.05535842126913074,0.5711128717734185,,,,,,
2022,IND_VEST,Western immigrant origin,371688,88998581,10967,0.971339718545426,14499.0,4.05919555193468,355519.6666666667,138.37665577090607,396612.7994124128,2,329371,0.0555584980949213,904012,0.1524892870950569,0.049700415137656946,0.89456009146871,,,,,,
2023,DANSK,Danish origin,407344,1710288793,0,1.0,24689.0,6.45202597640171,391567.6666666667,146.43128035343895,420753.1910415926,0,5020771,0.8424870088987869,938693,0.15751299110121314,0.8896569807474867,1.0559889604830293,0.7807339609180601,0.9267014834312471,18783.0,17632.0,1151.0,0.0002292476593734309
2023,IND_ANDRE,Non-western immigrant origin,319747,111789153,87597,0.784955713107349,19803.0,6.602232416717779,302622.0,157.07597685226122,330272.621116246,1,596190,0.10004087615933245,938693,0.15751299110121314,0.058150413395300096,0.5812665345182051,,,,,,
2023,IND_VEST,Western immigrant origin,418521,100335782,-11177,1.0274387250088377,46833.0,12.600083941370176,382466.0,155.8122305533011,432298.12214717385,2,342503,0.05747211494188068,938693,0.15751299110121314,0.05219260585721327,0.9081379014848092,,,,,,
2024,DANSK,Danish origin,427473,1798944709,0,1.0,20129.0,4.941523626222555,405824.0,153.6672166682843,435567.94389114884,0,5017109,0.8375828987885613,972876,0.16241710121143876,0.886446674811294,1.058339032582216,0.7724732388444087,0.9222648169651935,18508.0,16887.0,1621.0,0.00032309443546074044
2024,IND_ANDRE,Non-western immigrant origin,334282,123493033,93191,0.7819955880254426,14535.0,4.545781508505153,317991.0,164.21630756231517,340612.2104081919,1,620738,0.10362930791980281,972876,0.16241710121143876,0.0608523363267033,0.5872116445455375,,,,,,
2024,IND_VEST,Western immigrant origin,429375,106950782,-1902,1.0044494038219958,10854.0,2.5934182514139037,406528.0,159.85309337840553,437505.96156543697,2,352138,0.058787793291635956,972876,0.16241710121143876,0.052700988862002654,0.8964614235571365,,,,,,
